original_name,detected_extension,image_key,reason
2831_2-2.  #3,.jpg,283122,aucune
2831_2-2.  #4,.png,283122,aucune
2833_2-2.    #1,.jpg,283322,aucune
2833_2-2.    #2,.jpg,283322,aucune
2833_2-2.    #3,.jpg,283322,aucune
2833_2-2.    #4,.jpg,283322,aucune
2835.   #1,.jpg,2835,aucune
2835.   #2,.jpg,2835,aucune
2835.   #3,.jpg,2835,aucune
2835.   #4,.jpg,2835,aucune
2844.jpg,.jpg,2844,aucune
2845.jpg,.jpg,2845,aucune
2846.png,.png,2846,aucune
2847.png,.png,2847,aucune
2848.png,.png,2848,aucune
2858.   #1,.jpg,2858,aucune
2858.   #2,.jpg,2858,aucune
2858.   #3,.jpg,2858,aucune
2858.   #4,.jpg,2858,aucune
2863.   #1,.png,2863,aucune
2863.   #2,.png,2863,aucune
2863.   #3,.png,2863,aucune
2863.   #4,.png,2863,aucune
2864(1).   #1,.jpg,28641,aucune
2864(1).   #2,.jpg,28641,aucune
2864(1).   #3,.jpg,28641,aucune
2864(1).   #4,.jpg,28641,aucune
2864.   #1,.jpg,2864,aucune
2864.   #2,.jpg,2864,aucune
2864.   #3,.jpg,2864,aucune
2864.   #4,.jpg,2864,aucune
2865.   #1,.jpg,2865,aucune
2865.   #2,.jpg,2865,aucune
2865.   #3,.jpg,2865,aucune
2865.   #4,.jpg,2865,aucune
2866.    #1,.jpg,2866,aucune
2866.    #2,.jpg,2866,aucune
2866.    #3,.jpg,2866,aucune
2866.    #4,.jpg,2866,aucune
2866.   #1,.jpg,2866,aucune
2866.   #2,.jpg,2866,aucune
2866.   #3,.jpg,2866,aucune
2866.   #4,.jpg,2866,aucune
2868.   #1,.jpg,2868,aucune
2868.   #2,.jpg,2868,aucune
2868.   #3,.jpg,2868,aucune
2868.   #4,.jpg,2868,aucune
2868.jpg,.jpg,2868,aucune
2880_2-1-2.jpg,.jpg,2880212,aucune
2884_2-1-2.jpg,.jpg,2884212,aucune
2886_2-1-2.jpg,.jpg,2886212,aucune
2890_2-1-2.jpg,.jpg,2890212,aucune
2914.jpg,.jpg,2914,aucune
2924.jpg,.jpg,2924,aucune
2925.jpg,.jpg,2925,aucune
2941_3-1-2-3.jpg,.jpg,29413123,aucune
3023.jpg,.jpg,3023,aucune
3029.  #1,.png,3029,aucune
3029.  #2,.png,3029,aucune
3029.  #3,.png,3029,aucune
3029.  #4,.png,3029,aucune
3029_90x35.   #1,.png,302990x35,aucune
3029_90x35.   #2,.png,302990x35,aucune
3029_90x35.   #3,.png,302990x35,aucune
3029_90x35.   #4,.png,302990x35,aucune
3030.jpg,.jpg,3030,aucune
3073_74_75.png,.png,30737475,aucune
3076_77.jpg,.jpg,307677,aucune
3080.jpg,.jpg,3080,aucune
3085.jpg,.jpg,3085,aucune
3102_03_04 (dark green).jpg,.jpg,31020304darkgreen,aucune
3119_20_21.png,.png,31192021,aucune
3125.jpg,.jpg,3125,aucune
3126.jpg,.jpg,3126,aucune
3128.png,.png,3128,aucune
3130.png,.png,3130,aucune
3133.png,.png,3133,aucune
3135.png,.png,3135,aucune
3136.jpg,.jpg,3136,aucune
3138.jpg,.jpg,3138,aucune
3141.jpg,.jpg,3141,aucune
3143.jpg,.jpg,3143,aucune
3144.jpg,.jpg,3144,aucune
3147.jpg,.jpg,3147,aucune
3148.jpg,.jpg,3148,aucune
3150.jpg,.jpg,3150,aucune
3153.jpg,.jpg,3153,aucune
3159.jpg,.jpg,3159,aucune
3160.png,.png,3160,aucune
3161.jpg,.jpg,3161,aucune
3180.jpg,.jpg,3180,aucune
3202_03_04.jpg,.jpg,32020304,aucune
3206.jpg,.jpg,3206,aucune
3207.jpg,.jpg,3207,aucune
3208.jpg,.jpg,3208,aucune
3209.jpg,.jpg,3209,aucune
3237.jpg,.jpg,3237,aucune
3250_51_52.jpg,.jpg,32505152,aucune
3275.jpg,.jpg,3275,aucune
3286.jpg,.jpg,3286,aucune
3287.jpg,.jpg,3287,aucune
3290.jpg,.jpg,3290,aucune
3294_95.png,.png,329495,aucune
3373.jpg,.jpg,3373,aucune
3374.jpg,.jpg,3374,aucune
3415.   #1,.jpg,3415,aucune
3415.   #2,.jpg,3415,aucune
3415.   #3,.png,3415,aucune
3415.   #4,.png,3415,aucune
3417.   #1,.jpg,3417,aucune
3417.   #2,.jpg,3417,aucune
3417.   #3,.jpg,3417,aucune
3417.   #4,.jpg,3417,aucune
3418.    #1,.jpg,3418,aucune
3418.    #2,.jpg,3418,aucune
3418.    #3,.jpg,3418,aucune
3418.    #4,.jpg,3418,aucune
3431_32.jpg,.jpg,343132,aucune
3433_34.jpg,.jpg,343334,aucune
3439_40.jpg,.jpg,343940,aucune
3471.jpg,.jpg,3471,aucune
3730_31_32.png,.png,37303132,aucune
3751_52_53.jpg,.jpg,37515253,aucune
3780.jpg,.jpg,3780,aucune
3790_.png,.png,3790,aucune
380(1).  #1,.jpg,3801,aucune
380(1).  #2,.jpg,3801,aucune
380(1).  #3,.jpg,3801,aucune
380(1).  #4,.jpg,3801,aucune
380-rouge.   #1,.jpg,380rouge,aucune
380-rouge.   #2,.jpg,380rouge,aucune
380-rouge.   #3,.jpg,380rouge,aucune
380-rouge.   #4,.jpg,380rouge,aucune
380.  #1,.png,380,aucune
380.  #2,.jpg,380,aucune
380.  #3,.jpg,380,aucune
380.  #4,.jpg,380,aucune
3900.jpg,.jpg,3900,aucune
3901.png,.png,3901,aucune
3954_.png,.png,3954,aucune
